# {"t_start": 1583267238.1023371, "env_id": "HaroldReach-v0"} 
r,l,t
-200.0,200,3.774867
-200.0,200,5.790409
-200.0,200,7.710748
-200.0,200,9.618451
-200.0,200,11.501067
-113.0,200,13.489239
-200.0,200,15.51028
-200.0,200,17.456984
-200.0,200,19.34194
-200.0,200,21.670205
-200.0,200,23.531489
-200.0,200,25.402635
-200.0,200,27.227163
-200.0,200,29.006045
-200.0,200,30.812332
-200.0,200,32.596679
-200.0,200,34.386014
-200.0,200,36.272473
-200.0,200,38.117641
-200.0,200,39.913479
-200.0,200,41.701261
-191.0,200,43.577042
-200.0,200,45.397552
-195.0,200,47.467152
-200.0,200,49.264755
-200.0,200,51.089019
-200.0,200,53.073896
-200.0,200,55.11459
-200.0,200,57.153997
-200.0,200,59.341472
-188.0,200,61.909364
-68.0,200,64.185331
-200.0,200,66.524191
-200.0,200,68.83365
-182.0,200,71.112693
-198.0,200,73.314386
-200.0,200,75.498277
-200.0,200,77.695336
-200.0,200,79.948365
-200.0,200,82.218853
-200.0,200,84.75182
-163.0,200,87.062918
-200.0,200,89.330175
-136.0,200,91.583235
-200.0,200,93.761447
-189.0,200,96.067859
-200.0,200,98.368231
-200.0,200,100.653129
-180.0,200,102.905501
-141.0,200,105.192981
-200.0,200,108.036123
-200.0,200,109.021739
-200.0,200,110.016373
-200.0,200,110.963327
-200.0,200,111.912676
-200.0,200,113.227453
-200.0,200,114.156381
-200.0,200,115.081886
-200.0,200,116.117463
-200.0,200,117.068558
-200.0,200,118.130508
-200.0,200,120.393989
-200.0,200,122.644624
-200.0,200,124.943261
-200.0,200,127.48634
-159.0,200,129.779426
-137.0,200,131.925951
-200.0,200,134.168719
-28.0,200,136.415215
-190.0,200,138.701503
-200.0,200,140.923539
-200.0,200,143.166671
-189.0,200,145.482445
-200.0,200,147.838548
-200.0,200,150.070047
-158.0,200,152.419778
-200.0,200,154.661612
-192.0,200,156.93936
-200.0,200,159.245234
-200.0,200,161.624872
-200.0,200,163.886418
-200.0,200,166.063593
-200.0,200,168.286957
-200.0,200,170.454952
-200.0,200,172.658025
-200.0,200,174.821668
-200.0,200,177.032017
-200.0,200,179.198065
-200.0,200,181.372611
-200.0,200,183.483371
-200.0,200,185.683546
-200.0,200,187.86723
-200.0,200,190.087134
-200.0,200,192.261452
-200.0,200,194.504641
-195.0,200,196.65259
-200.0,200,198.881512
-34.0,200,201.133237
-200.0,200,203.375108
-200.0,200,205.628292
-191.0,200,207.998729
-200.0,200,210.255464
-200.0,200,212.492539
-200.0,200,214.712696
-200.0,200,216.954077
-200.0,200,219.209483
-172.0,200,221.484871
-200.0,200,223.796998
-200.0,200,226.070513
-200.0,200,228.279644
-200.0,200,230.45979
-4.0,200,231.446811
-200.0,200,232.369274
-200.0,200,233.405622
-200.0,200,234.349751
-200.0,200,235.333747
-200.0,200,236.285803
-200.0,200,237.228716
-200.0,200,238.159133
-200.0,200,239.091178
-200.0,200,240.157082
-200.0,200,242.481636
-200.0,200,244.802298
-174.0,200,247.03304
-200.0,200,249.249593
-200.0,200,251.51018
-191.0,200,253.809309
-178.0,200,256.105242
-200.0,200,258.401965
-200.0,200,260.692578
-200.0,200,262.962453
-200.0,200,265.260138
-200.0,200,267.491999
-200.0,200,269.781418
-200.0,200,272.062313
-200.0,200,274.322899
-200.0,200,276.6117
-200.0,200,278.874914
-63.0,200,281.128434
-200.0,200,283.375481
-200.0,200,285.590044
-200.0,200,287.876681
-200.0,200,290.151017
-200.0,200,292.370606
-200.0,200,294.614825
-200.0,200,296.860811
-200.0,200,299.093019
-200.0,200,301.313143
-200.0,200,303.587054
-200.0,200,305.803165
-200.0,200,308.047616
-200.0,200,310.306799
-25.0,200,312.578552
-200.0,200,314.833343
-200.0,200,317.077135
-200.0,200,319.285815
-200.0,200,321.544355
-200.0,200,323.811713
-200.0,200,326.089622
-200.0,200,328.399226
-200.0,200,330.609013
-200.0,200,332.873134
-200.0,200,335.075808
-200.0,200,337.342942
-200.0,200,339.622751
-200.0,200,341.891306
-200.0,200,344.156679
-200.0,200,346.400245
-200.0,200,348.662776
-200.0,200,350.93745
-200.0,200,353.143673
-200.0,200,354.103397
-200.0,200,355.066349
-200.0,200,355.998594
-200.0,200,356.900894
-200.0,200,357.82424
-200.0,200,358.771243
-200.0,200,359.713145
-8.0,200,360.689736
-200.0,200,361.618099
